"","pr_number","pr_creator","pr_created_ts","pr_title","pr_message"
"1",98,"taylormwang","2020-05-16T02:56:25Z","Minruo Wang","First version: finish prediction."
"2",97,"momemt54","2020-05-14T22:16:11Z","3 homewoek","thanks...."
"3",96,"Noah0811","2020-05-14T22:07:56Z","Zhongyuan Zhang ","done with the work! Thank you!"
"4",95,"yuchuheng11","2020-05-14T16:05:32Z","Ye",""
"5",94,"SonaliZeile","2020-05-11T22:50:56Z","Neural nets",""
"6",93,"NEAL0524","2020-05-11T22:17:11Z","chaoxiong chen","thanks"
"7",92,"laurenk9304","2020-05-10T11:31:06Z","Done",""
"8",91,"CWJ1106","2020-05-08T00:11:15Z","assignment done",""
"9",90,"BoziJin","2020-05-06T18:12:45Z","Done",""
"10",89,"adwang31","2020-05-06T03:18:09Z","thanks charles",""
"11",88,"ruiqiwang3","2020-05-04T08:03:05Z","neural network","done"
"12",87,"xiaojueliu94","2020-05-04T05:30:54Z","Finish~",""
"13",86,"batayeva2908","2020-05-03T10:34:24Z","neural networks",""
"14",85,"gehan7","2020-04-30T17:49:01Z","done",""
"15",84,"zimojiu","2020-04-28T11:41:04Z","Zimo assignemnt done",""
"16",83,"NingyaoXu","2020-04-27T16:27:19Z","Neural Networks",""
"17",82,"jz60524","2020-04-20T16:01:32Z","done!",""
"18",81,"xc2496","2020-04-20T06:09:04Z","done",""
"19",80,"caroline-555","2020-04-14T02:23:48Z","Neural-Networks",""
"20",79,"jackshen1998","2020-04-13T20:49:52Z","neural_network_done",""
"21",78,"hsiaotingyang","2020-04-12T23:45:21Z","Hsiao-Ting Yang's Neural Networks",""
"22",77,"Zifan96","2020-04-07T03:40:39Z","neural-networks done!",""
"23",76,"lrestrepo0001","2020-04-07T03:35:29Z","EYyyyyy","Submit"
"24",75,"zhang-yujun","2020-04-06T21:10:12Z","neural-networks",""
"25",74,"DDCecilia","2020-04-06T20:33:29Z","Neural Networks",""
"26",73,"MinnieLin","2020-04-06T20:27:53Z","Qiyang Lin_Neural Networks",""
"27",72,"mandymao1","2020-04-06T18:33:59Z","done",""
"28",71,"ad3671","2020-04-06T17:02:30Z","predict students' attention based on facial expressions",""
"29",70,"luyidai","2020-04-06T11:09:41Z","Neural Networks Project - Luyi Dai",""
"30",69,"cindyzhou555","2020-04-02T21:25:21Z","Completed","Completed"
