pr_number,pr_creator,pr_created_ts,pr_title,pr_message
68,leona-joo,2020-04-14T01:20:29Z,Yixuan Zhu Assignment done,not sure if pdf is working
69,ad3671,2020-04-18T16:57:45Z,Social Network Analysis On 7th Grade Students,thank you
70,s275,2020-04-20T18:49:45Z,Done❤,"Ziyuan Guo
Unit No.4"
71,jackiessshao,2020-04-20T21:57:49Z,work,
72,luyidai,2020-04-21T21:18:32Z,SNA-Luyi Dai,
73,DDCecilia,2020-04-21T22:42:06Z,SNA,
74,mandymao1,2020-04-23T17:12:02Z,done,
75,hsiaotingyang,2020-04-26T02:12:45Z,Hsiao Yang's Social Network Analysis,
76,rhonda2726,2020-04-27T07:58:06Z,SNA,
77,jc5230,2020-04-28T03:56:40Z,Submission,
78,caroline-555,2020-04-28T04:52:38Z,Social-network-analysis,
79,zimojiu,2020-04-28T11:01:02Z,Zimo's weekly assignment done,
80,batayeva2908,2020-04-29T13:44:44Z,SNA,
81,gehan7,2020-05-01T13:28:08Z,done,
82,Noah0811,2020-05-02T05:11:40Z,Zhongyuan Zhang,Thank you Charles!
83,xiaojueliu94,2020-05-03T16:41:04Z,Finish!~,
84,ruiqiwang3,2020-05-04T08:34:56Z,social Net Anl,social Net Anl
85,Xyyzzz11,2020-05-04T23:05:45Z,assignment,
86,adwang31,2020-05-06T03:19:38Z,thanks charles!,
87,BoziJin,2020-05-06T18:03:43Z,SNA,
88,CWJ1106,2020-05-07T03:16:51Z,Assignment done :D,
89,yuchuheng11,2020-05-08T17:37:11Z,Done～2,
90,cindyzhou555,2020-05-11T15:24:08Z,Done,Shuyue Zhou 
91,LT-L,2020-05-11T19:09:16Z,Done by lintong!,good!
92,NEAL0524,2020-05-11T22:20:43Z,chaoxiong chen,
93,sj2562,2020-05-11T22:47:15Z,Social Network Analysis,
94,SonaliZeile,2020-05-11T23:21:46Z,commit,
95,momemt54,2020-05-14T22:45:00Z,work 2, work 2 done..
96,Zifan96,2020-05-15T01:38:05Z,social network!,
97,taylormwang,2020-05-16T03:53:04Z,Minruo Wang,First version: graph and centrality
