"Highlight Fur Color",Runners,Chasers,Climbers,Eaters,Foragers,Kukkers,Quaasers,Moaners,Tail_flaggers,Tail_twitchers,Approachers,Indifferent,Fleers
,0.2507,0.1041,0.2452,0.1889,0.4009,0.0415,0.0212,0.0009,0.0369,0.0876,0.0341,0.4488,0.2101
Black,0.1471,0.0000,0.3235,0.1176,0.4706,0.0000,0.0000,0.0000,0.0000,0.2059,0.0588,0.5882,0.1471
"Black, Cinnamon",0.3415,0.0244,0.1707,0.4878,0.3902,0.0488,0.0000,0.0000,0.1707,0.4146,0.0732,0.4390,0.4146
"Black, White",0.0000,0.0000,0.1000,0.3000,0.7000,0.1000,0.0000,0.0000,0.1000,0.1000,0.0000,0.9000,0.0000
Cinnamon,0.2379,0.0915,0.1869,0.2706,0.5137,0.0261,0.0196,0.0013,0.0693,0.1425,0.0693,0.4824,0.2471
"Cinnamon, White",0.2164,0.0858,0.2090,0.3843,0.6007,0.0373,0.0037,0.0000,0.0448,0.1940,0.1082,0.5933,0.2052
Gray,0.2588,0.0588,0.2353,0.2647,0.5000,0.0176,0.0176,0.0000,0.0824,0.2176,0.1059,0.4588,0.2412
"Gray, Black",0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.6667,0.0000
"Gray, White",0.2373,0.0678,0.2034,0.4576,0.6102,0.0678,0.0000,0.0000,0.0508,0.1525,0.1356,0.4915,0.2542
White,0.2367,0.0995,0.2093,0.2470,0.4854,0.0292,0.0137,0.0017,0.0429,0.1818,0.0463,0.4837,0.2161
